Secondary 0 muon ke=652.015 (x,y,z)= 17.4998 50.3204 0 (m)
Secondary 0 muon ke=377.712 (x,y,z)= 89.989 125.098 0 (m)
Secondary 0 muon ke=1437.64 (x,y,z)= 120.558 -90.4193 0 (m)
Secondary 0 muon ke=411.648 (x,y,z)= 37.6316 -60.5649 0 (m)
Secondary 0 muon ke=182.393 (x,y,z)= 87.0503 85.0362 0 (m)
Secondary 0 muon ke=3281.14 (x,y,z)= 125.071 147.006 0 (m)
Secondary 0 muon ke=693.585 (x,y,z)= -135.737 102.257 0 (m)
Secondary 2 muon ke=8.59168 (x,y,z)= 13.554 -143.344 0 (m)
Secondary 0 muon ke=365.982 (x,y,z)= -61.1966 57.0493 0 (m)
Secondary 0 muon ke=1476.96 (x,y,z)= -70.4797 105.369 0 (m)
Secondary 0 muon ke=125.878 (x,y,z)= 136.744 40.7351 0 (m)
Secondary 0 muon ke=3376.94 (x,y,z)= -42.438 -16.3646 0 (m)
Secondary 0 muon ke=732.64 (x,y,z)= 62.8078 -133.558 0 (m)
Secondary 0 muon ke=124.565 (x,y,z)= 23.1484 -120.219 0 (m)
Secondary 0 muon ke=1420.78 (x,y,z)= -90.2179 -102.614 0 (m)
Secondary 0 muon ke=577.48 (x,y,z)= -11.5124 132.825 0 (m)
Secondary 0 muon ke=329.778 (x,y,z)= 108.18 -141.77 0 (m)
Secondary 0 muon ke=3292.27 (x,y,z)= -56.1064 -53.8543 0 (m)
Secondary 1 muon ke=3871.66 (x,y,z)= 145.853 -104.463 0 (m)
Secondary 0 muon ke=90.8439 (x,y,z)= 104.994 -139.353 0 (m)
Secondary 0 muon ke=591.642 (x,y,z)= 46.6401 76.2291 0 (m)
Secondary 0 muon ke=6299.21 (x,y,z)= 135.645 100.6 0 (m)
Secondary 0 muon ke=3158.44 (x,y,z)= 114.854 4.83841 0 (m)
Secondary 0 muon ke=548.767 (x,y,z)= -135.022 25.135 0 (m)
Secondary 0 muon ke=1104.49 (x,y,z)= -106.679 -36.3407 0 (m)
Secondary 0 muon ke=262.477 (x,y,z)= -137.696 53.4057 0 (m)
